epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.7999,1.2171,5.7817,1.84371,0.01671,0.7,0.0408,0.02698,1.02999,5.52208,1.84534,0,0,0
2,3.0105,0.99252,6.89872,1.48567,0.01651,0.7,0.04098,0.02724,1.02687,5.57766,1.84861,1.63399e-05,1.63399e-05,1.63399e-05
3,4.4622,1.30211,5.67645,1.74683,0.01576,0.7,0.03917,0.02639,1.02849,5.61755,1.85123,3.20197e-05,3.20197e-05,3.20197e-05
4,5.88377,1.03886,5.70539,1.76006,0.11974,0.1,0.05922,0.0396,1.03583,5.67913,1.86254,4.70394e-05,4.70394e-05,4.70394e-05
5,7.34753,1.41817,7.53392,2.37553,0.18691,0.1,0.05836,0.03913,1.04817,5.76641,1.89323,6.13989e-05,6.13989e-05,6.13989e-05
6,8.78865,1.30589,6.08973,1.95915,0.28594,0.1,0.05747,0.03892,1.05188,5.87786,1.90951,7.50984e-05,7.50984e-05,7.50984e-05
7,10.225,1.22735,5.83896,1.54465,0.08257,0.1,0.04119,0.02758,1.04883,5.93603,1.91135,8.81376e-05,8.81376e-05,8.81376e-05
8,10.2293,1.61287,6.13512,1.87503,0.43361,0.1,0.10784,0.08238,1.06906,5.69544,1.73135,0.000100517,0.000100517,0.000100517
9,11.8005,1.14236,6.6415,1.63005,0.42394,0.1,0.10718,0.08199,1.07609,5.71586,1.73311,0.000112236,0.000112236,0.000112236
10,13.2654,1.291,5.97815,1.58255,0.82387,0.1,0.17935,0.12743,1.04646,5.59646,1.65424,0.000123295,0.000123295,0.000123295
11,14.66,1.1754,4.86359,1.46674,0.79078,0.4,0.45947,0.32534,1.03748,5.21324,1.5747,0.000133693,0.000133693,0.000133693
12,15.9957,1.05498,4.90027,1.51363,0.89424,0.5,0.67783,0.45401,1.04499,4.97993,1.47109,0.000143432,0.000143432,0.000143432
13,17.3294,0.90481,4.2697,1.34447,0.94072,0.5,0.70295,0.49579,0.94266,4.51887,1.33764,0.00015251,0.00015251,0.00015251
14,18.4029,0.87071,3.65383,1.34733,0.63179,0.8,0.88667,0.62622,0.94165,4.19412,1.26172,0.000160929,0.000160929,0.000160929
15,19.3903,0.82535,5.29616,2.10464,0.99212,0.9,0.96167,0.68827,0.85167,3.96498,1.19302,0.000168687,0.000168687,0.000168687
16,20.6166,0.88429,3.64044,1.4568,0.97784,0.9,0.9575,0.74218,0.77215,3.70566,1.15985,0.000175785,0.000175785,0.000175785
17,21.5224,0.84016,4.74767,1.20525,0.98537,0.9,0.9575,0.76957,0.69891,3.50716,1.11711,0.000182223,0.000182223,0.000182223
18,22.4157,0.92834,3.70368,1.32985,0.98956,0.9,0.9575,0.79734,0.66771,3.35852,1.10372,0.000188001,0.000188001,0.000188001
19,23.2584,0.9155,3.34434,1.35855,0.99237,0.9,0.96167,0.7904,0.68505,3.2031,1.10625,0.000193119,0.000193119,0.000193119
20,24.1012,0.87284,3.48145,1.35874,0.99321,0.9,0.96167,0.81405,0.6562,2.94433,1.10604,0.000197576,0.000197576,0.000197576
21,24.8984,0.97774,3.52699,1.74539,0.99306,0.9,0.97192,0.83958,0.61568,2.7357,1.09632,0.000201374,0.000201374,0.000201374
22,25.6581,0.7948,3.376,1.18806,0.99294,0.9,0.97192,0.84556,0.57855,2.61969,1.08294,0.000204511,0.000204511,0.000204511
23,26.3798,0.66974,3.32069,1.20297,0.99328,0.9,0.98591,0.86535,0.58435,2.57106,1.07813,0.000206988,0.000206988,0.000206988
24,27.0695,0.72332,2.97422,1.28488,1,0.99316,0.995,0.85459,0.61091,2.59417,1.08539,0.000208805,0.000208805,0.000208805
25,27.8666,0.75047,3.18874,1.44008,1,0.99405,0.995,0.86302,0.65849,2.68094,1.08133,0.000209962,0.000209962,0.000209962
26,28.5289,0.71685,4.83103,1.09167,1,0.99438,0.995,0.85474,0.64429,2.69449,1.05318,0.000210459,0.000210459,0.000210459
27,29.1834,0.66899,2.40383,1.23959,1,0.99599,0.995,0.88161,0.60419,2.71753,1.03261,0.000210295,0.000210295,0.000210295
