epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.6832,1.2171,5.7817,1.84371,0.01671,0.7,0.0408,0.02698,1.02999,5.52208,1.84534,0,0,0
2,2.85613,0.99252,6.89872,1.48567,0.01651,0.7,0.04098,0.02724,1.02687,5.57766,1.84861,1.6505e-05,1.6505e-05,1.6505e-05
3,4.28403,1.30211,5.67645,1.74683,0.01576,0.7,0.03917,0.02639,1.02849,5.61755,1.85123,3.26799e-05,3.26799e-05,3.26799e-05
4,5.72307,1.03886,5.70539,1.76006,0.11974,0.1,0.05922,0.0396,1.03583,5.67913,1.86254,4.85247e-05,4.85247e-05,4.85247e-05
5,7.17224,1.41817,7.53392,2.37553,0.18691,0.1,0.05836,0.03913,1.04817,5.76641,1.89323,6.40395e-05,6.40395e-05,6.40395e-05
6,8.60327,1.30589,6.08973,1.95915,0.28594,0.1,0.05747,0.03892,1.05188,5.87786,1.90951,7.92242e-05,7.92242e-05,7.92242e-05
7,10.1082,1.22735,5.83896,1.54465,0.08257,0.1,0.04119,0.02758,1.04883,5.93603,1.91135,9.40788e-05,9.40788e-05,9.40788e-05
8,11.6013,1.61287,6.13512,1.87503,0.45087,0.1,0.10864,0.08276,1.07013,5.68383,1.71855,0.000108603,0.000108603,0.000108603
9,13.151,1.11164,6.62399,1.59613,0.44769,0.1,0.10665,0.08228,1.08009,5.71001,1.7297,0.000122798,0.000122798,0.000122798
10,14.631,1.29034,5.91432,1.55172,0.84736,0.1,0.21465,0.14212,1.04568,5.60661,1.60794,0.000136662,0.000136662,0.000136662
11,16.0438,1.14938,4.82128,1.46486,0.63861,0.4,0.45106,0.30106,1.14343,5.1289,1.57983,0.000150197,0.000150197,0.000150197
12,17.3629,1.07688,4.71566,1.5187,0.92144,0.5,0.67686,0.44374,1.10921,4.91622,1.51261,0.000163401,0.000163401,0.000163401
13,18.626,0.88494,4.31216,1.34362,0.6155,0.7,0.77297,0.53178,1.02152,4.57833,1.39676,0.000176275,0.000176275,0.000176275
14,19.6015,0.87065,3.54114,1.36348,0.86233,0.6,0.87405,0.62421,0.98122,4.27287,1.29287,0.000188819,0.000188819,0.000188819
15,20.4959,0.84041,5.0395,2.12172,1,0.87734,0.96643,0.70947,0.90301,3.82467,1.21079,0.000201034,0.000201034,0.000201034
16,21.3391,0.87572,3.57332,1.48774,0.97354,0.9,0.95056,0.72048,0.78472,3.55431,1.14676,0.000212918,0.000212918,0.000212918
17,20.5817,0.83913,4.58091,1.21218,0.99084,0.9,0.95382,0.76268,0.71425,3.28072,1.11026,0.000224472,0.000224472,0.000224472
18,21.3438,0.94972,3.52769,1.32435,0.99105,0.9,0.96643,0.82104,0.68694,3.1641,1.10242,0.000235695,0.000235695,0.000235695
19,22.081,0.95732,3.25589,1.36344,0.99371,0.9,0.9575,0.77369,0.71458,2.99332,1.12906,0.000246589,0.000246589,0.000246589
20,22.7969,0.90737,3.34591,1.36522,0.99329,0.9,0.95382,0.79717,0.69553,2.84333,1.12133,0.000257153,0.000257153,0.000257153
21,23.5677,1.05996,3.64892,1.67555,0.99362,0.9,0.98591,0.83886,0.66226,2.75353,1.11806,0.000267387,0.000267387,0.000267387
22,24.3757,0.79325,3.25196,1.21059,1,0.99404,0.995,0.87349,0.59961,2.71354,1.09272,0.00027729,0.00027729,0.00027729
23,25.0749,0.68898,3.24382,1.20385,1,0.99404,0.995,0.90309,0.56456,2.65345,1.0745,0.000286864,0.000286864,0.000286864
24,25.7133,0.71203,2.81525,1.33502,1,0.99459,0.995,0.86466,0.60883,2.69117,1.08139,0.000296108,0.000296108,0.000296108
25,26.3308,0.74526,2.98177,1.56741,1,0.995,0.995,0.83961,0.68879,2.73387,1.10588,0.000305021,0.000305021,0.000305021
26,26.9401,0.76257,4.29764,1.11395,1,0.99546,0.995,0.84123,0.65781,2.66601,1.08116,0.000313604,0.000313604,0.000313604
