epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9598,1.17676,9.63706,1.47344,0.14765,1,0.88807,0.64028,0.81325,3.18088,1.48311,0,0,0
2,2.71788,1.22114,10.8838,1.54597,0.14474,1,0.88415,0.64133,0.81676,3.18216,1.48199,4.505e-06,4.505e-06,4.505e-06
3,3.52176,1.26884,11.3145,1.58639,0.14103,1,0.87965,0.63714,0.81987,3.19204,1.47591,8.02e-06,8.02e-06,8.02e-06
4,3.43778,1.42673,10.307,1.69247,0.13253,1,0.87694,0.63564,0.82605,3.19591,1.48056,1.0545e-05,1.0545e-05,1.0545e-05
5,4.16521,1.09814,9.51488,1.5021,0.13018,1,0.87363,0.63032,0.82166,3.20928,1.48974,1.208e-05,1.208e-05,1.208e-05
6,4.86948,1.37751,10.9042,1.62333,0.12022,1,0.875,0.63538,0.82438,3.22277,1.49081,1.2625e-05,1.2625e-05,1.2625e-05
7,5.56986,1.40984,11.1093,1.76791,0.12291,1,0.87924,0.62893,0.8253,3.23912,1.48286,1.218e-05,1.218e-05,1.218e-05
8,6.27452,1.13396,9.92175,1.55599,0.12291,1,0.88869,0.62889,0.82935,3.25782,1.47502,1.0745e-05,1.0745e-05,1.0745e-05
9,7.03514,1.36713,11.1871,1.73755,0.1236,1,0.89381,0.63169,0.8305,3.25662,1.46838,8.32e-06,8.32e-06,8.32e-06
10,7.83976,1.189,9.90961,1.59997,0.13333,1,0.89856,0.6325,0.83133,3.27854,1.46748,4.905e-06,4.905e-06,4.905e-06
