epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.77771,1.29551,6.6599,1.55576,0.51765,0.46429,0.28745,0.20077,1.02691,4.54523,1.57144,0,0,0
2,3.26759,1.34323,6.98701,1.63676,0.51667,0.46429,0.28603,0.17302,1.02723,4.54389,1.56286,4.901e-06,4.901e-06,4.901e-06
3,4.77173,1.35794,6.13133,1.53354,0.51562,0.46429,0.28451,0.17208,1.02323,4.55606,1.56496,9.604e-06,9.604e-06,9.604e-06
4,6.22908,1.24828,6.61,1.42615,0.51832,0.53571,0.28632,0.17222,1.01984,4.56446,1.56799,1.4109e-05,1.4109e-05,1.4109e-05
5,7.71779,1.57207,7.18653,1.57781,0.14259,0.53571,0.11277,0.07548,1.01689,4.57749,1.57289,1.8416e-05,1.8416e-05,1.8416e-05
6,9.18691,1.45213,6.42239,1.59207,0.11691,0.53571,0.10081,0.06706,1.004,4.55133,1.55137,2.2525e-05,2.2525e-05,2.2525e-05
7,10.7262,1.2175,6.4587,1.29767,0.24325,0.67857,0.19754,0.14418,1.01789,4.4888,1.53098,2.6436e-05,2.6436e-05,2.6436e-05
8,12.2483,1.26835,6.49353,1.67029,0.22329,0.67857,0.20831,0.1477,1.03307,4.41583,1.49684,3.0149e-05,3.0149e-05,3.0149e-05
9,13.7718,1.2899,6.65087,1.40384,0.24204,0.67857,0.24382,0.17384,1.03421,4.42971,1.50561,3.3664e-05,3.3664e-05,3.3664e-05
10,15.3098,1.30877,6.73797,1.73435,0.24186,0.67857,0.24339,0.16065,1.04299,4.31769,1.47997,3.6981e-05,3.6981e-05,3.6981e-05
11,16.856,1.31483,6.22548,1.67171,0.28673,0.71429,0.2677,0.18239,1.01412,4.27107,1.44921,4.01e-05,4.01e-05,4.01e-05
12,18.3657,1.30005,6.96771,1.34895,0.22796,0.71429,0.25845,0.18564,0.99101,4.25498,1.41003,4.3021e-05,4.3021e-05,4.3021e-05
13,19.8131,1.23506,6.22893,1.38159,0.23584,0.78571,0.31029,0.21284,0.97324,4.22083,1.3697,4.5744e-05,4.5744e-05,4.5744e-05
