epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.73719,1.29551,6.6599,1.55576,0.51765,0.46429,0.28745,0.20077,1.02691,4.54523,1.57144,0,0,0
2,3.23301,1.34323,6.98701,1.63676,0.51667,0.46429,0.28603,0.17302,1.02723,4.54389,1.56286,4.7525e-06,4.7525e-06,4.7525e-06
3,4.71235,1.35794,6.13133,1.53354,0.51562,0.46429,0.28451,0.17208,1.02323,4.55606,1.56496,9.01e-06,9.01e-06,9.01e-06
4,6.16237,1.24828,6.61,1.42615,0.51832,0.53571,0.28632,0.17222,1.01984,4.56446,1.56799,1.27725e-05,1.27725e-05,1.27725e-05
5,7.61341,1.57207,7.18653,1.57781,0.14259,0.53571,0.11277,0.07548,1.01689,4.57749,1.57289,1.604e-05,1.604e-05,1.604e-05
6,9.13071,1.45213,6.42239,1.59207,0.11675,0.53571,0.10056,0.06701,1.00615,4.55456,1.55489,1.88125e-05,1.88125e-05,1.88125e-05
7,10.6567,1.21881,6.45828,1.30323,0.15834,0.57143,0.12454,0.08754,1.01571,4.51209,1.53815,2.109e-05,2.109e-05,2.109e-05
8,12.2072,1.27988,6.54442,1.6882,0.22304,0.67857,0.19866,0.14472,1.02027,4.46838,1.5125,2.28725e-05,2.28725e-05,2.28725e-05
9,13.7606,1.31441,6.72422,1.4299,0.24168,0.67857,0.22672,0.16116,1.02178,4.48235,1.51746,2.416e-05,2.416e-05,2.416e-05
10,15.2956,1.33569,6.7636,1.74776,0.22211,0.67857,0.23658,0.16439,1.0375,4.40796,1.50416,2.49525e-05,2.49525e-05,2.49525e-05
11,17.1997,1.11555,7.13864,1.29322,0.22268,0.67857,0.23816,0.16521,1.04522,4.33467,1.49075,2.525e-05,2.525e-05,2.525e-05
12,18.8274,1.05298,6.94911,1.34733,0.24168,0.67857,0.2439,0.16115,1.02895,4.2909,1.47643,2.50525e-05,2.50525e-05,2.50525e-05
13,20.3477,0.98356,6.61965,1.20983,0.26423,0.71429,0.26148,0.18626,1.00622,4.27011,1.46152,2.436e-05,2.436e-05,2.436e-05
14,21.8133,1.04069,6.65356,1.32251,0.24535,0.71429,0.26433,0.18769,0.99798,4.2534,1.4453,2.31725e-05,2.31725e-05,2.31725e-05
15,23.2968,1.08797,7.0083,1.50151,0.28445,0.75,0.29216,0.20736,0.97751,4.23515,1.42318,2.149e-05,2.149e-05,2.149e-05
16,24.787,1.06916,6.68057,1.48355,0.24896,0.75,0.28326,0.20233,0.95918,4.21092,1.40467,1.93125e-05,1.93125e-05,1.93125e-05
17,26.2717,0.9964,6.77839,1.3121,0.23431,0.75,0.28519,0.20604,0.93689,4.18388,1.38844,1.664e-05,1.664e-05,1.664e-05
18,27.6989,1.01263,6.68778,1.19284,0.23431,0.75,0.28519,0.20604,0.93689,4.18388,1.38844,1.34725e-05,1.34725e-05,1.34725e-05
19,29.1842,0.96828,6.38362,1.23963,0.19923,0.75,0.27894,0.21016,0.9149,4.15926,1.36958,9.81e-06,9.81e-06,9.81e-06
20,30.6421,1.10657,7.10202,1.48443,0.19923,0.75,0.27894,0.21016,0.9149,4.15926,1.36958,5.6525e-06,5.6525e-06,5.6525e-06
