epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9802,1.34873,6.07254,1.66748,0,0,0,0,1.88608,4.46673,2.47394,0,0,0
2,28.1632,1.30751,5.98115,1.74433,0,0,0,0,1.8748,4.46259,2.48101,4.835e-06,4.835e-06,4.835e-06
3,43.5223,1.38277,6.2066,1.62012,0,0,0,0,1.85263,4.46016,2.48134,9.34e-06,9.34e-06,9.34e-06
4,58.9641,1.31046,6.79576,1.62032,0,0,0,0,1.84274,4.44413,2.46716,1.3515e-05,1.3515e-05,1.3515e-05
5,73.5658,1.38293,6.2957,1.71146,0,0,0,0,1.82635,4.43694,2.45548,1.736e-05,1.736e-05,1.736e-05
6,88.701,1.34637,5.99602,1.68273,0,0,0,0,1.68097,4.30449,2.26826,2.0875e-05,2.0875e-05,2.0875e-05
7,103.981,1.18126,5.92068,1.6731,0,0,0,0,1.65883,4.29973,2.25818,2.406e-05,2.406e-05,2.406e-05
8,119.603,1.10693,6.21489,1.64109,0.4,0.09091,0.25018,0.12143,1.50838,4.12313,2.0739,2.6915e-05,2.6915e-05,2.6915e-05
9,131.735,1.0529,5.51613,1.55409,0.57143,0.18182,0.38694,0.20445,1.36784,3.94836,1.90925,2.944e-05,2.944e-05,2.944e-05
10,146.978,1.04096,5.55633,1.41168,0.5,0.31818,0.45999,0.24625,1.2674,3.7626,1.79824,3.1635e-05,3.1635e-05,3.1635e-05
11,161.417,1.0073,5.36119,1.28975,0.6087,0.63636,0.72609,0.46225,1.18426,3.57408,1.71317,3.35e-05,3.35e-05,3.35e-05
12,178.122,1.1217,5.69997,1.60575,0.60606,0.90909,0.91238,0.59857,1.1026,3.39579,1.62876,3.5035e-05,3.5035e-05,3.5035e-05
13,193.53,0.93164,5.2586,1.36791,0.58824,0.90909,0.91315,0.60633,1.08759,3.38215,1.61848,3.624e-05,3.624e-05,3.624e-05
14,211.931,0.9083,5.51957,1.42814,0.57895,1,0.94444,0.67088,1.02244,3.22282,1.55858,3.7115e-05,3.7115e-05,3.7115e-05
15,229.245,1.2019,5.39005,1.39577,0.5,0.77273,0.78568,0.58892,0.96682,3.07356,1.50328,3.766e-05,3.766e-05,3.766e-05
16,247.347,0.94909,4.918,1.33773,0.4,0.72727,0.74932,0.57007,0.92245,2.9193,1.466,3.7875e-05,3.7875e-05,3.7875e-05
17,264.771,0.88427,5.19602,1.31385,0.36735,0.81818,0.82327,0.64128,0.87988,2.77438,1.42098,3.776e-05,3.776e-05,3.776e-05
18,282.273,0.83619,4.33214,1.15366,0.34375,1,0.97909,0.74426,0.84693,2.62013,1.38453,3.7315e-05,3.7315e-05,3.7315e-05
19,300.622,0.85078,4.59843,1.48234,0.34921,1,0.97808,0.74389,0.83819,2.60344,1.37929,3.654e-05,3.654e-05,3.654e-05
20,318.096,1.07069,5.04275,1.39903,0.46964,1,0.9835,0.75594,0.81964,2.43535,1.34955,3.5435e-05,3.5435e-05,3.5435e-05
21,333.786,0.81373,5.1594,1.3341,1,0.75504,0.9835,0.76453,0.79595,2.26622,1.31545,3.4e-05,3.4e-05,3.4e-05
22,349.696,0.82451,4.90403,1.22314,1,0.75254,0.98476,0.76871,0.76151,2.10385,1.27843,3.2235e-05,3.2235e-05,3.2235e-05
23,364.24,0.72321,4.43214,1.13506,1,0.82989,0.99109,0.77893,0.73281,1.95106,1.24718,3.014e-05,3.014e-05,3.014e-05
24,379.811,0.73503,4.73669,1.18207,1,0.86518,0.99326,0.78976,0.71131,1.81314,1.2193,2.7715e-05,2.7715e-05,2.7715e-05
25,394.197,0.69455,4.01413,1.05667,1,0.87856,0.99326,0.7942,0.69118,1.69456,1.19392,2.496e-05,2.496e-05,2.496e-05
26,409.438,0.67529,4.57045,1.14959,1,0.8869,0.99326,0.79734,0.6868,1.59257,1.18035,2.1875e-05,2.1875e-05,2.1875e-05
27,423.898,0.7394,4.27136,1.12336,1,0.8923,0.995,0.79975,0.6787,1.51544,1.16735,1.846e-05,1.846e-05,1.846e-05
28,439.318,0.71103,3.88604,1.09753,1,0.89568,0.995,0.80493,0.67277,1.45345,1.15668,1.4715e-05,1.4715e-05,1.4715e-05
29,453.738,0.67257,4.07607,1.02366,1,0.89808,0.995,0.81531,0.66841,1.40134,1.1486,1.064e-05,1.064e-05,1.064e-05
30,469.407,0.71927,4.28812,1.09987,1,0.89942,0.995,0.82324,0.66676,1.36465,1.14394,6.235e-06,6.235e-06,6.235e-06
