epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.40232,1.20295,6.84864,1.65442,1,0.1,0.55,0.385,0.98847,4.59093,1.6659,0,0,0
2,2.29058,1.07215,7.44611,1.4314,1,0.1,0.55,0.33,0.98757,4.59188,1.66222,4.901e-06,4.901e-06,4.901e-06
3,3.43289,1.31687,7.03577,1.60856,1,0.1,0.55,0.33,0.97447,4.61466,1.66471,9.604e-06,9.604e-06,9.604e-06
4,4.57279,1.04149,6.68332,1.65783,0.25,0.1,0.20875,0.14137,0.9645,4.63329,1.66571,1.4109e-05,1.4109e-05,1.4109e-05
5,5.66538,1.30853,7.87976,2.12284,0.33333,0.1,0.24667,0.16792,0.97096,4.66378,1.67469,1.8416e-05,1.8416e-05,1.8416e-05
6,6.59567,1.35225,6.68753,1.83903,0.2,0.1,0.186,0.12545,0.97839,4.68376,1.68554,2.2525e-05,2.2525e-05,2.2525e-05
7,7.72754,1.25002,7.17305,1.43359,0.25,0.1,0.20875,0.10437,0.95772,4.65302,1.70326,2.6436e-05,2.6436e-05,2.6436e-05
8,8.71156,1.56884,7.08285,1.75931,0.14286,0.1,0.16,0.08,0.94112,4.62849,1.70133,3.0149e-05,3.0149e-05,3.0149e-05
9,9.69664,1.20571,7.67864,1.63275,0.125,0.1,0.15188,0.09113,0.93306,4.60355,1.6854,3.3664e-05,3.3664e-05,3.3664e-05
10,10.6858,1.28115,6.99104,1.53096,0.125,0.1,0.15188,0.09113,0.92614,4.57993,1.66487,3.6981e-05,3.6981e-05,3.6981e-05
11,11.662,1.26814,6.45238,1.48162,0.25,0.2,0.22958,0.15229,0.93037,4.56156,1.65238,4.01e-05,4.01e-05,4.01e-05
12,12.6115,1.11744,6.77498,1.48086,0.3,0.3,0.3215,0.2572,0.94597,4.54327,1.62018,4.3021e-05,4.3021e-05,4.3021e-05
13,13.5697,0.91857,6.57664,1.27193,0.3,0.3,0.32817,0.25132,0.95283,4.51959,1.59349,4.5744e-05,4.5744e-05,4.5744e-05
14,14.5175,1.02245,5.83473,1.36852,0.30769,0.4,0.38885,0.29292,0.95183,4.46345,1.56582,4.8269e-05,4.8269e-05,4.8269e-05
15,15.4198,0.97151,7.38347,1.94327,0.30769,0.4,0.39599,0.32288,0.91089,4.38621,1.53392,5.0596e-05,5.0596e-05,5.0596e-05
16,16.4546,0.91531,5.98135,1.28301,0.33333,0.4,0.43833,0.34637,0.86795,4.3714,1.51683,5.2725e-05,5.2725e-05,5.2725e-05
17,17.3382,1.05296,6.97453,1.21222,0.41176,0.7,0.56571,0.44282,0.84447,4.30888,1.48633,5.4656e-05,5.4656e-05,5.4656e-05
18,18.2162,1.00968,6.10178,1.25955,0.41176,0.7,0.56571,0.44282,0.84447,4.30888,1.48633,5.6389e-05,5.6389e-05,5.6389e-05
19,19.1129,1.0951,6.04734,1.56828,0.40909,0.9,0.66938,0.51028,0.81387,4.24424,1.45167,5.7924e-05,5.7924e-05,5.7924e-05
20,19.999,1.07639,6.11496,1.44277,0.40909,0.9,0.66938,0.51028,0.81387,4.24424,1.45167,5.9261e-05,5.9261e-05,5.9261e-05
21,20.8816,1.19118,6.28377,1.71588,0.37037,1,0.75615,0.58676,0.75688,4.16106,1.40266,6.04e-05,6.04e-05,6.04e-05
22,21.7301,0.81388,6.27804,1.24603,0.37037,1,0.75615,0.58676,0.75688,4.16106,1.40266,6.1341e-05,6.1341e-05,6.1341e-05
23,22.5947,0.89646,6.59505,1.2666,0.34483,1,0.81337,0.6416,0.72935,4.03297,1.3772,6.2084e-05,6.2084e-05,6.2084e-05
24,23.4222,0.97464,5.8761,1.54306,0.34483,1,0.81337,0.6416,0.72935,4.03297,1.3772,6.2629e-05,6.2629e-05,6.2629e-05
25,24.3889,0.7983,6.13781,1.26842,0.32258,1,0.80204,0.64642,0.71859,3.91685,1.36621,6.2976e-05,6.2976e-05,6.2976e-05
26,25.2158,0.7437,7.54187,1.06636,0.32258,1,0.80204,0.64642,0.71859,3.91685,1.36621,6.3125e-05,6.3125e-05,6.3125e-05
27,26.0391,0.75358,4.9561,1.12773,0.29412,1,0.86,0.6929,0.71829,3.81264,1.34844,6.3076e-05,6.3076e-05,6.3076e-05
28,26.8494,0.80278,5.59446,1.23815,0.29412,1,0.86,0.6929,0.71829,3.81264,1.34844,6.2829e-05,6.2829e-05,6.2829e-05
29,27.6706,0.92829,5.97724,1.23311,0.27778,1,0.85936,0.69554,0.74173,3.68065,1.3234,6.2384e-05,6.2384e-05,6.2384e-05
30,28.4807,0.80476,6.05105,1.34382,0.27778,1,0.85936,0.69554,0.74173,3.68065,1.3234,6.1741e-05,6.1741e-05,6.1741e-05
31,29.277,0.85509,5.99356,1.13623,0.25641,1,0.95192,0.77369,0.76386,3.55772,1.27888,6.09e-05,6.09e-05,6.09e-05
32,30.0583,1.00307,5.64918,1.71425,0.25641,1,0.95192,0.77369,0.76386,3.55772,1.27888,5.9861e-05,5.9861e-05,5.9861e-05
33,30.8435,0.99492,5.97161,1.85358,0.88915,0.80239,0.96833,0.77006,0.7737,3.46424,1.18956,5.8624e-05,5.8624e-05,5.8624e-05
34,31.591,0.5887,5.13056,1.12172,0.88915,0.80239,0.96833,0.77006,0.7737,3.46424,1.18956,5.7189e-05,5.7189e-05,5.7189e-05
35,32.4709,0.58816,6.84766,1.51915,1,0.4725,0.94825,0.77571,0.71726,3.3393,1.13056,5.5556e-05,5.5556e-05,5.5556e-05
36,33.226,1.01275,6.53892,1.40315,1,0.4725,0.94825,0.77571,0.71726,3.3393,1.13056,5.3725e-05,5.3725e-05,5.3725e-05
37,33.9991,0.60074,5.46969,1.14539,1,0.41556,0.95643,0.80298,0.62556,3.2129,1.07733,5.1696e-05,5.1696e-05,5.1696e-05
38,34.7385,0.68118,5.32835,1.40679,1,0.41556,0.95643,0.80298,0.62556,3.2129,1.07733,4.9469e-05,4.9469e-05,4.9469e-05
39,35.5052,0.77024,5.11079,1.56495,1,0.38156,0.97682,0.82046,0.58879,3.11179,1.06417,4.7044e-05,4.7044e-05,4.7044e-05
40,36.2369,0.81684,5.44303,1.10715,1,0.38156,0.97682,0.82046,0.58879,3.11179,1.06417,4.4421e-05,4.4421e-05,4.4421e-05
41,37.3125,0.53802,6.36712,1.98592,1,0.39255,0.98591,0.84549,0.57005,3.02473,1.05594,4.16e-05,4.16e-05,4.16e-05
42,38.0488,0.62332,6.15038,1.11164,1,0.39255,0.98591,0.84549,0.57005,3.02473,1.05594,3.8581e-05,3.8581e-05,3.8581e-05
43,38.9835,0.78905,7.18632,1.20662,1,0.40353,0.98591,0.83815,0.55908,2.94292,1.05312,3.5364e-05,3.5364e-05,3.5364e-05
44,39.684,0.61137,5.73794,1.05906,1,0.40353,0.98591,0.83815,0.55908,2.94292,1.05312,3.1949e-05,3.1949e-05,3.1949e-05
45,40.4033,0.60275,5.94221,1.08608,1,0.44138,0.98591,0.85178,0.55259,2.87164,1.04923,2.8336e-05,2.8336e-05,2.8336e-05
46,41.0959,0.54301,5.98196,1.05551,1,0.44138,0.98591,0.85178,0.55259,2.87164,1.04923,2.4525e-05,2.4525e-05,2.4525e-05
47,41.7921,0.5481,6.12018,1.05217,1,0.47178,0.98591,0.85637,0.54368,2.82179,1.0424,2.0516e-05,2.0516e-05,2.0516e-05
48,42.4768,0.61975,5.84547,1.10513,1,0.47178,0.98591,0.85637,0.54368,2.82179,1.0424,1.6309e-05,1.6309e-05,1.6309e-05
49,43.1827,0.5701,6.42481,1.03856,1,0.49553,0.98591,0.84529,0.54024,2.78274,1.03888,1.1904e-05,1.1904e-05,1.1904e-05
50,43.8447,0.59886,5.62433,1.02006,1,0.49553,0.98591,0.84529,0.54024,2.78274,1.03888,7.301e-06,7.301e-06,7.301e-06
