epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.34651,1.92832,10.3896,1.80557,0.53571,0.68182,0.50295,0.36751,0.78876,4.27349,1.03334,0,0,0
2,2.11325,1.26906,9.39713,1.41182,0.51724,0.68182,0.47882,0.35033,0.79481,4.28475,1.04041,4.7525e-06,4.7525e-06,4.7525e-06
3,2.87658,1.80944,10.6995,1.58687,0.48387,0.68182,0.45749,0.33305,0.7956,4.29355,1.04462,9.01e-06,9.01e-06,9.01e-06
4,3.74728,1.67851,13.4974,1.51011,0.39394,0.59091,0.36849,0.27368,0.80729,4.30795,1.05082,1.27725e-05,1.27725e-05,1.27725e-05
5,4.47041,1.77056,10.8723,1.66403,0.33333,0.59091,0.31203,0.23034,0.81133,4.31444,1.05477,1.604e-05,1.604e-05,1.604e-05
6,5.20506,1.72974,9.68777,1.52013,0.26667,0.54545,0.2355,0.16967,0.81569,4.32788,1.05892,1.88125e-05,1.88125e-05,1.88125e-05
7,5.9501,1.608,9.9495,1.60906,0.2766,0.59091,0.23124,0.17016,0.82331,4.33164,1.06403,2.109e-05,2.109e-05,2.109e-05
8,6.65142,1.7195,12.0256,1.75686,0.27451,0.63636,0.23337,0.17349,0.83168,4.3401,1.0702,2.28725e-05,2.28725e-05,2.28725e-05
9,7.39429,1.60217,10.2585,1.54396,0.25,0.68182,0.24776,0.18804,0.82068,4.30755,1.06058,2.416e-05,2.416e-05,2.416e-05
10,8.20892,1.69964,9.32483,1.55272,0.26027,0.86364,0.26911,0.2048,0.81859,4.27628,1.05439,2.49525e-05,2.49525e-05,2.49525e-05
11,9.53174,1.04904,10.8638,1.28167,0.22581,0.95455,0.25116,0.19351,0.81662,4.25969,1.04839,2.525e-05,2.525e-05,2.525e-05
12,10.3625,1.20924,11.8752,1.28193,0.20561,1,0.22942,0.1725,0.81387,4.23183,1.04035,2.50525e-05,2.50525e-05,2.50525e-05
13,11.2326,1.08532,11.6992,1.21678,0.18487,1,0.22111,0.16897,0.81462,4.20082,1.03524,2.436e-05,2.436e-05,2.436e-05
14,12.0404,0.88926,10.1828,1.05986,0.16923,1,0.20649,0.15818,0.81617,4.17281,1.03066,2.31725e-05,2.31725e-05,2.31725e-05
15,13.0935,0.91931,10.5002,1.1541,0.15714,1,0.19859,0.15136,0.81388,4.14808,1.02639,2.149e-05,2.149e-05,2.149e-05
16,13.9269,0.80862,8.72041,1.11024,0.15068,1,0.20957,0.16093,0.81485,4.11593,1.02384,1.93125e-05,1.93125e-05,1.93125e-05
17,14.7371,0.96578,10.0565,1.17719,0.14286,1,0.21255,0.16333,0.81525,4.09231,1.02122,1.664e-05,1.664e-05,1.664e-05
18,15.5614,0.94266,8.65338,1.22798,0.13836,1,0.2207,0.16981,0.8121,4.07574,1.01905,1.34725e-05,1.34725e-05,1.34725e-05
19,16.3835,0.82249,9.2833,1.09051,0.1375,1,0.21605,0.16696,0.81309,4.05997,1.01791,9.81e-06,9.81e-06,9.81e-06
20,17.2318,0.85141,9.47447,1.07789,0.13497,1,0.21904,0.1676,0.81336,4.05493,1.01763,5.6525e-06,5.6525e-06,5.6525e-06
